INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
4.77	-0.02	41	*
4.78	-0.02	42	 
4.79	-0.02	43	 
4.80	-0.02	45	 
4.81	-0.02	46	 
4.82	-0.02	47	 
4.83	-0.02	48	 
4.84	-0.02	49	 
4.85	-0.02	50	 
4.86	-0.02	52	 
4.87	-0.02	53	 
4.88	-0.02	54	 
4.89	-0.02	55	 
4.90	-0.02	57	 
4.91	-0.02	58	 
4.92	-0.02	59	 
4.93	-0.02	61	 
4.94	-0.02	62	 
4.95	-0.02	64	 
4.96	-0.02	65	 
4.97	-0.02	67	 
4.98	-0.02	68	 
4.99	-0.02	70	 
5.00	-0.02	71	 
5.01	-0.02	73	 
5.02	-0.02	74	 
5.03	-0.02	76	 
5.04	-0.02	78	 
5.05	-0.02	79	 
5.06	-0.02	81	 
5.07	-0.02	83	 
5.08	-0.02	85	 
5.09	-0.02	86	 
5.10	-0.02	88	 
5.11	-0.02	90	 
5.12	-0.02	92	 
5.13	-0.02	94	 
5.14	-0.02	96	 
5.15	-0.02	98	 
5.16	-0.02	100	 
5.17	-0.02	102	 
5.18	-0.02	104	 
5.19	-0.02	106	 
5.20	-0.02	108	 
5.21	-0.02	110	 
5.22	-0.02	112	 
5.23	-0.02	115	 
5.24	-0.01	119	 
5.25	-0.01	121	 
5.26	-0.01	124	 
5.27	-0.01	126	 
5.28	-0.01	128	 
5.29	-0.01	131	 
5.30	-0.01	133	 
5.31	-0.01	136	 
5.32	-0.01	138	 
5.33	-0.01	141	 
5.34	-0.01	143	 
5.35	-0.01	146	 
5.36	-0.01	149	 
5.37	-0.01	151	 
5.38	-0.01	154	 
5.39	-0.01	157	 
5.40	-0.01	160	 
5.41	-0.01	163	 
5.42	-0.01	166	 
5.43	-0.01	168	 
5.44	-0.01	171	 
5.45	-0.01	174	 
5.46	-0.01	177	 
5.47	-0.01	181	 
5.48	-0.01	184	 
5.49	-0.01	187	 
5.50	-0.01	190	 
5.51	-0.01	193	 
5.52	-0.01	196	 
5.53	-0.01	200	 
5.54	-0.01	203	 
5.55	-0.01	207	 
5.56	-0.01	210	 
5.57	-0.01	213	 
5.58	-0.01	217	 
5.59	-0.01	221	 
5.60	-0.01	224	 
5.61	-0.01	228	 
5.62	-0.01	231	 
5.63	-0.01	235	 
